OFFSETS ,"['26.34', '44.99', '11.55']"
GREENS ,"['24.09', '58.78', '30.81', '16.53']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['35.79', '4.34', '0.88']"
GREENS ,"['9.82', '47.84', '64.39', '46.19']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.45', '40.19', '64.33']"
GREENS ,"['58.22', '44.92', '53.77', '62.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.13', '41.00', '51.21']"
GREENS ,"['54.60', '15.21', '17.55', '61.08']"
LAST_GREENS ,"['5.90', '34.25', '7.92']"
