Execução 1:

OFFSETS ,"['69.52', '52.61', '50.79'] "
GREENS ,"['56.80', '46.18', '1.27', '54.09'] "
LAST_GREENS ,"['3.70', '19.55', '14.91']"
RESULTS:,15.50,11.90,20.67


OFFSETS ,"['73.18', '52.61', '50.71']  "
GREENS ,"['59.82', '45.67', '1.21', '54.09'] "
LAST_GREENS ,"['0.68', '20.12', '14.91']"
RESULTS:,28.14,19.33,31.00


OFFSETS ,"['73.40', '52.61', '48.83']  "
GREENS ,"['56.81', '46.18', '1.26', '54.09']"
LAST_GREENS ,"['3.69', '19.56', '14.91']"
RESULTS:,28.85,19.78,31.00


OFFSETS ,"['72.92', '52.60', '48.83'] "
GREENS ,"['56.81', '46.18', '0.34', '54.09']"
LAST_GREENS ,"['3.69', '20.49', '14.91']"
RESULTS:,27.71,19.10,33.33


Execução 2:

OFFSETS ,"['38.74', '15.23', '13.28'] "
GREENS ,"['12.23', '50.08', '0.93', '52.58']"
LAST_GREENS ,"['48.27', '15.98', '16.42']"
RESULTS:,14.55,13.58,15.50


OFFSETS ,"['34.90', '15.23', '13.27'] "
GREENS ,"['12.24', '46.75', '0.93', '52.58']"
LAST_GREENS ,"['48.26', '19.32', '16.42']"
RESULTS:,8.53,7.94,11.00


OFFSETS ,"['26.31', '15.23', '13.18'] "
GREENS ,"['12.24', '46.66', '0.93', '52.58']"
LAST_GREENS ,"['48.26', '19.41', '16.42']"
RESULTS:,8.19,7.79,8.67


OFFSETS ,"['25.02', '15.23', '13.18'] "
GREENS ,"['12.24', '45.51', '0.93', '52.58']"
LAST_GREENS ,"['48.26', '20.56', '16.42']"
RESULTS:,8.07,7.57,10.67


Execução 3:

OFFSETS ,"['61.29', '56.03', '58.59'] "
GREENS ,"['25.86', '48.37', '1.15', '50.31']"
LAST_GREENS ,"['34.64', '17.48', '18.69']"
RESULTS:,13.78,12.79,12.50


OFFSETS ,"['61.30', '56.07', '58.78'] "
GREENS ,"['25.86', '45.58', '1.79', '51.32']"
LAST_GREENS ,"['34.64', '19.63', '17.68']"
RESULTS:,9.15,8.31,9.00


OFFSETS ,"['61.32', '56.03', '56.61'] "
GREENS ,"['25.85', '48.25', '1.77', '50.30']"
LAST_GREENS ,"['34.65', '16.98', '18.70']"
RESULTS:,12.60,11.73,11.00


Execução 4:

OFFSETS ,"['37.59', '25.28', '20.57']"
GREENS ,"['17.84', '47.36', '0.56', '54.37']"
LAST_GREENS ,"['42.66', '19.09', '14.63']"
RESULTS:,8.68,8.17,9.33


OFFSETS ,"['36.70', '25.28', '20.57']"
GREENS ,"['10.45', '47.36', '0.56', '53.66']"
LAST_GREENS ,"['50.05', '19.09', '15.34']"
RESULTS:,7.76,7.35,8.33


Execução 5:

OFFSETS ,"['4.79', '69.19', '67.22'] "
GREENS ,"['15.96', '42.10', '3.69', '51.63']"
LAST_GREENS ,"['44.54', '21.21', '17.37']"
RESULTS:,10.66,9.15,13.33


OFFSETS ,"['4.70', '57.71', '67.20'] "
GREENS ,"['15.96', '43.68', '3.62', '51.63']"
LAST_GREENS ,"['44.54', '19.70', '17.37']"
RESULTS:,21.25,16.95,22.00


OFFSETS ,"['4.54', '57.70', '61.46'] "
GREENS ,"['15.96', '43.65', '3.62', '51.63']"
LAST_GREENS ,"['44.54', '19.72', '17.37']"
RESULTS:,13.00,11.33,10.33


OFFSETS ,"['4.79', '68.77', '67.20']  "
GREENS ,"['15.96', '45.12', '3.68', '51.63']"
LAST_GREENS ,"['44.54', '18.20', '17.37']"
RESULTS:,9.85,8.94,11.67


OFFSETS ,"['4.78', '58.15', '61.47'] "
GREENS ,"['15.96', '42.19', '3.63', '51.62']"
LAST_GREENS ,"['44.54', '21.18', '17.38']"
RESULTS:,11.73,10.22,9.33


OFFSETS ,"['4.80', '67.16', '67.27'] "
GREENS ,"['15.96', '42.19', '3.63', '51.85']"
LAST_GREENS ,"['44.54', '21.18', '17.15']"
RESULTS:,10.04,8.78,12.33


Execução 6: 

OFFSETS ,"['37.00', '28.37', '31.91'] "
GREENS ,"['57.75', '43.93', '4.14', '53.82']"
LAST_GREENS ,"['2.75', '18.92', '15.18']"
RESULTS:,9.15,8.39,9.67


OFFSETS ,"['36.94', '29.87', '25.95'] "
GREENS ,"['57.75', '43.93', '0.28', '50.92']"
LAST_GREENS ,"['2.75', '22.79', '18.08']"
RESULTS:,9.30,8.38,8.67


OFFSETS ,"['37.02', '28.21', '32.13'] "
GREENS ,"['57.75', '41.73', '4.16', '53.81']"
LAST_GREENS ,"['2.75', '21.11', '15.19']"
RESULTS:,9.40,8.31,10.33


OFFSETS ,"['36.98', '28.37', '31.91']"
GREENS ,"['57.75', '45.63', '4.14', '51.27']"
LAST_GREENS ,"['2.75', '17.22', '17.73']"
RESULTS:,13.09,12.16,11.00


Execução 7:

OFFSETS ,"['26.35', '24.40', '20.05']"
GREENS ,"['26.45', '46.94', '0.52', '52.17']"
LAST_GREENS ,"['34.05', '19.54', '16.83']"
RESULTS:,8.09,7.66,7.67


OFFSETS ,"['26.35', '24.41', '20.05']"
GREENS ,"['26.44', '50.22', '0.52', '52.09']"
LAST_GREENS ,"['34.06', '16.26', '16.91']"
RESULTS:,8.93,8.72,7.67


Execução 8:

OFFSETS ,"['38.52', '47.35', '42.58'] "
GREENS ,"['30.64', '50.09', '0.60', '51.77']"
LAST_GREENS ,"['29.86', '16.30', '17.23']"
RESULTS:,13.78,12.96,14.50


OFFSETS ,"['39.21', '47.34', '42.58'] "
GREENS ,"['31.36', '47.91', '0.63', '51.76']"
LAST_GREENS ,"['29.14', '18.46', '17.24']"
RESULTS:,8.57,8.00,8.33


OFFSETS ,"['39.25', '47.34', '42.58'] "
GREENS ,"['30.58', '47.91', '0.63', '53.32']"
LAST_GREENS ,"['29.92', '18.46', '15.68']"
RESULTS:,8.59,8.01,8.33


OFFSETS ,"['39.22', '42.03', '42.58']"
GREENS ,"['30.51', '48.01', '0.60', '51.76']"
LAST_GREENS ,"['29.99', '18.39', '17.24']"
RESULTS:,9.04,8.37,9.00


Execução 9:

OFFSETS ,"['32.57', '33.70', '29.90']"
GREENS ,"['24.35', '47.09', '0.48', '54.74']"
LAST_GREENS ,"['36.15', '19.43', '14.26']"
RESULTS:,8.38,8.01,8.67


OFFSETS ,"['32.85', '29.07', '30.05'] "
GREENS ,"['24.27', '46.95', '3.32', '55.78']"
LAST_GREENS ,"['36.23', '16.73', '13.22']"
RESULTS:,11.29,10.78,8.33


Execução 10:

OFFSETS ,"['5.30', '56.08', '59.79'] "
GREENS ,"['5.41', '45.97', '3.81', '52.98']"
LAST_GREENS ,"['55.09', '17.22', '16.02']"
RESULTS:,9.09,8.42,8.67


OFFSETS ,"['5.25', '56.08', '52.95'] "
GREENS ,"['5.41', '45.97', '3.81', '52.99']"
LAST_GREENS ,"['55.09', '17.22', '16.01']"
RESULTS:,8.90,8.19,9.00
