OFFSETS ,"['2.05', '50.29', '31.30']"
GREENS ,"['33.80', '9.41', '13.27', '55.25']"
LAST_GREENS ,"['26.70', '44.32', '13.75']"
RESULTS:,193.60,107.57,108.33

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['53.02', '59.94', '5.70', '2.69']"
LAST_GREENS ,"['7.48', '1.36', '66.31']"
RESULTS:,58.88,92.71,56.67

OFFSETS ,"['45.47', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '25.47', '38.02']"
LAST_GREENS ,"['0.69', '2.69', '30.98']"
RESULTS:,53.45,65.07,51.00

OFFSETS ,"['55.90', '50.19', '19.87']"
GREENS ,"['4.01', '24.80', '42.19', '14.50']"
LAST_GREENS ,"['56.49', '0.01', '54.50']"
RESULTS:,227.62,134.49,98.00

OFFSETS ,"['55.90', '65.02', '7.45']"
GREENS ,"['4.01', '24.88', '42.19', '14.50']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.11', '18.03', '4.95']"
GREENS ,"['44.47', '51.56', '24.60', '64.54']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.65', '59.14', '9.31']"
GREENS ,"['27.46', '38.91', '65.27', '19.77']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.34']"
GREENS ,"['9.49', '1.24', '4.69', '36.18']"
LAST_GREENS ,"['51.01', '61.06', '32.82']"
RESULTS:,314.97,147.30,130.00

OFFSETS ,"['28.88', '16.50', '0.01']"
GREENS ,"['18.29', '9.83', '6.19', '13.16']"
LAST_GREENS ,"['42.21', '50.98', '55.84']"
RESULTS:,291.44,115.99,109.33

OFFSETS ,"['31.06', '3.75', '40.19']"
GREENS ,"['40.51', '34.50', '63.29', '40.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['12.74', '51.04', '19.79']"
GREENS ,"['25.48', '64.07', '35.72', '47.74']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['69.73', '43.64', '23.80']"
GREENS ,"['59.81', '39.02', '61.69', '37.78']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

