OFFSETS ,"['62.06', '21.35', '47.80']"
GREENS ,"['46.95', '51.18', '60.23', '62.52']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.69', '1.02', '16.12']"
GREENS ,"['44.05', '17.62', '32.01', '54.96']"
LAST_GREENS ,"['16.45', '17.38', '14.04']"
RESULTS:,120.26,68.23,91.00

OFFSETS ,"['43.22', '53.80', '34.84']"
GREENS ,"['48.83', '6.98', '56.90', '29.44']"
LAST_GREENS ,"['11.67', '3.11', '39.56']"
RESULTS:,299.90,147.59,119.67

OFFSETS ,"['53.35', '47.24', '69.46']"
GREENS ,"['19.32', '27.94', '19.26', '0.05']"
LAST_GREENS ,"['41.18', '19.80', '68.95']"
RESULTS:,205.23,97.20,59.67

OFFSETS ,"['39.38', '63.95', '57.53']"
GREENS ,"['24.31', '7.76', '1.33', '18.90']"
LAST_GREENS ,"['36.19', '57.91', '50.10']"
RESULTS:,400.68,130.52,118.00

OFFSETS ,"['61.50', '36.15', '49.33']"
GREENS ,"['49.66', '24.26', '20.04', '31.72']"
LAST_GREENS ,"['10.84', '22.69', '37.28']"
RESULTS:,107.93,61.18,71.00

OFFSETS ,"['41.14', '48.36', '16.23']"
GREENS ,"['44.57', '50.17', '4.86', '31.32']"
LAST_GREENS ,"['15.93', '11.97', '37.68']"
RESULTS:,74.08,45.42,36.50

OFFSETS ,"['21.79', '6.38', '30.40']"
GREENS ,"['28.97', '52.76', '0.96', '66.85']"
LAST_GREENS ,"['31.53', '13.29', '2.15']"
RESULTS:,72.56,62.67,46.50

OFFSETS ,"['34.79', '60.83', '1.98']"
GREENS ,"['42.53', '42.65', '47.71', '23.35']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['21.65', '5.94', '30.40']"
GREENS ,"['30.66', '53.24', '1.33', '68.70']"
LAST_GREENS ,"['29.84', '12.43', '0.30']"
RESULTS:,64.64,59.98,47.50

OFFSETS ,"['53.35', '47.24', '69.46']"
GREENS ,"['19.35', '34.42', '19.11', '0.05']"
LAST_GREENS ,"['41.15', '13.47', '68.95']"
RESULTS:,159.59,85.79,60.33

OFFSETS ,"['37.61', '57.42', '57.28']"
GREENS ,"['28.96', '7.06', '0.63', '17.60']"
LAST_GREENS ,"['31.54', '59.31', '51.40']"
RESULTS:,410.65,130.91,116.33

OFFSETS ,"['21.62', '6.38', '30.40']"
GREENS ,"['30.66', '53.24', '1.59', '68.76']"
LAST_GREENS ,"['29.84', '12.17', '0.24']"
RESULTS:,59.93,55.54,46.50

OFFSETS ,"['34.14', '46.81', '60.05']"
GREENS ,"['44.08', '48.00', '18.64', '1.07']"
LAST_GREENS ,"['16.42', '0.37', '67.93']"
RESULTS:,202.11,110.21,58.00

OFFSETS ,"['21.64', '38.38', '30.30']"
GREENS ,"['29.02', '24.87', '11.89', '66.83']"
LAST_GREENS ,"['31.48', '30.24', '2.17']"
RESULTS:,141.37,80.26,100.33

OFFSETS ,"['37.08', '48.36', '49.04']"
GREENS ,"['44.57', '50.17', '5.03', '31.33']"
LAST_GREENS ,"['15.93', '11.81', '37.67']"
RESULTS:,59.71,40.57,32.50

OFFSETS ,"['25.96', '69.01', '31.98']"
GREENS ,"['2.93', '5.39', '1.80', '50.89']"
LAST_GREENS ,"['57.57', '59.81', '18.11']"
RESULTS:,438.23,136.20,117.33

OFFSETS ,"['61.50', '36.28', '43.53']"
GREENS ,"['49.73', '24.14', '19.70', '46.06']"
LAST_GREENS ,"['10.77', '23.16', '22.94']"
RESULTS:,89.82,53.95,75.00

OFFSETS ,"['37.13', '17.38', '43.54']"
GREENS ,"['15.58', '51.09', '0.96', '43.25']"
LAST_GREENS ,"['44.92', '14.96', '25.75']"
RESULTS:,48.80,32.97,24.67

OFFSETS ,"['16.45', '48.00', '16.21']"
GREENS ,"['47.17', '50.24', '3.21', '58.75']"
LAST_GREENS ,"['13.33', '13.56', '10.25']"
RESULTS:,37.79,30.80,32.50

OFFSETS ,"['74.02', '48.36', '16.51']"
GREENS ,"['43.88', '51.23', '0.64', '31.31']"
LAST_GREENS ,"['16.62', '15.14', '37.69']"
RESULTS:,55.44,32.43,28.33

OFFSETS ,"['37.15', '16.50', '43.78']"
GREENS ,"['29.38', '36.41', '0.63', '46.07']"
LAST_GREENS ,"['31.12', '29.96', '22.93']"
RESULTS:,47.58,30.25,22.67

OFFSETS ,"['37.61', '17.44', '30.04']"
GREENS ,"['29.13', '36.20', '0.92', '50.96']"
LAST_GREENS ,"['31.37', '29.88', '18.04']"
RESULTS:,28.72,20.28,18.00

OFFSETS ,"['41.19', '16.42', '16.52']"
GREENS ,"['15.65', '51.37', '1.33', '31.69']"
LAST_GREENS ,"['44.85', '14.29', '37.31']"
RESULTS:,56.17,35.81,27.00

OFFSETS ,"['21.65', '6.38', '29.80']"
GREENS ,"['30.77', '53.24', '1.59', '68.69']"
LAST_GREENS ,"['29.73', '12.17', '0.31']"
RESULTS:,63.26,56.20,46.00

OFFSETS ,"['39.98', '14.18', '69.76']"
GREENS ,"['15.50', '51.03', '4.45', '49.23']"
LAST_GREENS ,"['45.00', '11.52', '19.77']"
RESULTS:,38.44,30.71,36.50

OFFSETS ,"['17.44', '8.86', '42.45']"
GREENS ,"['55.05', '36.62', '0.94', '48.06']"
LAST_GREENS ,"['5.45', '29.45', '20.94']"
RESULTS:,58.90,35.70,26.67

OFFSETS ,"['37.15', '51.06', '43.02']"
GREENS ,"['15.65', '50.85', '0.63', '48.07']"
LAST_GREENS ,"['44.85', '15.52', '20.93']"
