OFFSETS ,"['12.74', '65.86', '7.38']"
GREENS ,"['25.48', '64.18', '35.72', '47.74']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['23.66', '51.49', '62.60']"
GREENS ,"['1.11', '50.26', '66.25', '51.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.06', '11.00', '44.20']"
GREENS ,"['42.34', '6.86', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '32.40', '21.09']"
RESULTS:,175.04,95.65,120.00

OFFSETS ,"['31.06', '3.75', '40.19']"
GREENS ,"['40.16', '34.50', '63.29', '40.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['67.76', '10.31', '10.45']"
GREENS ,"['48.85', '26.64', '11.08', '64.00']"
LAST_GREENS ,"['11.65', '29.28', '5.00']"
RESULTS:,121.10,69.11,87.33

OFFSETS ,"['26.08', '56.31', '54.45']"
GREENS ,"['53.44', '41.79', '50.31', '24.07']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.46', '4.99', '19.52']"
GREENS ,"['48.69', '12.96', '42.84', '36.20']"
LAST_GREENS ,"['11.81', '11.20', '32.80']"
RESULTS:,202.30,105.66,107.33

OFFSETS ,"['69.36', '19.75', '4.95']"
GREENS ,"['44.47', '51.74', '60.82', '64.31']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.62', '4.93', '20.52']"
GREENS ,"['48.72', '56.53', '5.69', '2.34']"
LAST_GREENS ,"['11.78', '4.78', '66.66']"
RESULTS:,175.59,88.46,51.67

OFFSETS ,"['71.21', '33.74', '43.42']"
GREENS ,"['9.60', '15.88', '3.44', '39.58']"
LAST_GREENS ,"['50.90', '47.68', '29.42']"
RESULTS:,193.53,84.83,95.00

OFFSETS ,"['21.03', '58.16', '7.65']"
GREENS ,"['27.10', '60.88', '11.09', '64.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['46.51', '29.74', '69.09']"
GREENS ,"['26.01', '66.82', '11.55', '9.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.28', '52.68', '50.92']"
GREENS ,"['18.41', '9.83', '34.03', '12.85']"
LAST_GREENS ,"['42.09', '23.14', '56.15']"
RESULTS:,353.44,119.29,110.33

OFFSETS ,"['44.64', '42.66', '23.80']"
GREENS ,"['59.97', '38.84', '25.47', '38.28']"
LAST_GREENS ,"['0.53', '2.69', '30.72']"
RESULTS:,84.22,65.17,51.00

OFFSETS ,"['56.05', '10.29', '19.52']"
GREENS ,"['48.84', '12.56', '11.59', '36.20']"
LAST_GREENS ,"['11.66', '42.85', '32.80']"
RESULTS:,206.67,92.18,101.67

OFFSETS ,"['26.16', '1.27', '42.03']"
GREENS ,"['41.18', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['19.32', '7.39', '8.41']"
RESULTS:,51.64,45.02,48.00

OFFSETS ,"['26.54', '55.96', '0.01']"
GREENS ,"['18.50', '15.92', '6.19', '15.56']"
LAST_GREENS ,"['42.00', '44.89', '53.44']"
RESULTS:,283.80,106.95,98.33

OFFSETS ,"['31.28', '53.80', '50.96']"
GREENS ,"['48.12', '14.77', '5.97', '12.85']"
LAST_GREENS ,"['12.38', '46.27', '56.15']"
RESULTS:,313.27,109.09,99.33

OFFSETS ,"['9.75', '30.10', '51.20']"
GREENS ,"['12.80', '17.79', '13.67', '3.68']"
LAST_GREENS ,"['47.70', '35.54', '65.32']"
RESULTS:,311.49,108.26,91.33

OFFSETS ,"['23.17', '23.51', '51.92']"
GREENS ,"['53.40', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['7.10', '7.78', '10.84']"
RESULTS:,37.81,35.58,48.50

OFFSETS ,"['45.47', '10.05', '10.87']"
GREENS ,"['59.81', '38.84', '25.76', '38.29']"
LAST_GREENS ,"['0.69', '2.39', '30.71']"
RESULTS:,86.07,69.55,50.00

OFFSETS ,"['31.28', '42.81', '50.92']"
GREENS ,"['18.41', '10.58', '34.03', '11.89']"
LAST_GREENS ,"['42.09', '22.40', '57.11']"
RESULTS:,366.32,120.66,110.67

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['59.40', '45.83', '13.70', '60.59']"
LAST_GREENS ,"['1.10', '7.47', '8.41']"
RESULTS:,50.20,43.82,50.00

OFFSETS ,"['67.76', '42.91', '44.89']"
GREENS ,"['48.85', '26.64', '10.78', '63.73']"
LAST_GREENS ,"['11.65', '29.57', '5.27']"
RESULTS:,100.95,59.46,82.33

OFFSETS ,"['23.31', '23.51', '51.43']"
GREENS ,"['53.40', '45.51', '25.40', '58.16']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['74.92', '29.81', '41.08']"
GREENS ,"['53.41', '60.18', '5.69', '5.23']"
LAST_GREENS ,"['7.09', '1.13', '63.77']"
RESULTS:,179.58,88.12,50.50

OFFSETS ,"['72.62', '1.66', '52.25']"
GREENS ,"['53.02', '45.13', '5.70', '2.69']"
LAST_GREENS ,"['7.48', '16.18', '66.31']"
RESULTS:,119.52,60.35,55.00

OFFSETS ,"['25.88', '42.66', '41.92']"
GREENS ,"['59.97', '38.84', '25.27', '38.28']"
LAST_GREENS ,"['0.53', '2.90', '30.72']"
RESULTS:,76.24,63.86,50.50

OFFSETS ,"['44.51', '52.53', '24.30']"
GREENS ,"['59.97', '38.10', '13.78', '39.24']"
LAST_GREENS ,"['0.53', '15.13', '29.76']"
RESULTS:,70.13,38.02,32.33

OFFSETS ,"['22.40', '29.81', '41.08']"
GREENS ,"['53.03', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.47', '7.55', '8.41']"
RESULTS:,51.55,43.71,47.50

OFFSETS ,"['45.47', '10.33', '10.87']"
GREENS ,"['59.40', '38.84', '13.26', '38.29']"
LAST_GREENS ,"['1.10', '14.90', '30.71']"
RESULTS:,58.41,39.28,31.33

OFFSETS ,"['22.39', '29.81', '41.08']"
GREENS ,"['53.41', '45.75', '13.70', '60.59']"
