OFFSETS ,"['26.77', '19.89', '32.70']"
GREENS ,"['39.70', '26.67', '15.32', '63.95']"
LAST_GREENS ,"['20.80', '25.01', '5.05']"
RESULTS:,92.16,57.63,89.67

OFFSETS ,"['74.20', '13.05', '41.50']"
GREENS ,"['30.68', '4.16', '49.46', '27.61']"
LAST_GREENS ,"['29.82', '13.38', '41.39']"
RESULTS:,264.25,126.65,123.67

OFFSETS ,"['10.26', '14.82', '19.36']"
GREENS ,"['15.70', '22.02', '17.91', '41.23']"
LAST_GREENS ,"['44.80', '27.07', '27.77']"
RESULTS:,116.65,65.10,79.67

OFFSETS ,"['12.73', '70.96', '5.46']"
GREENS ,"['4.58', '7.19', '23.12', '52.39']"
LAST_GREENS ,"['55.92', '36.69', '16.61']"
RESULTS:,225.00,103.62,118.00

OFFSETS ,"['50.52', '61.54', '50.35']"
GREENS ,"['8.56', '7.14', '22.64', '52.68']"
LAST_GREENS ,"['51.94', '37.22', '16.32']"
RESULTS:,248.37,113.42,116.67

OFFSETS ,"['5.24', '67.56', '15.52']"
GREENS ,"['40.56', '46.90', '10.95', '42.83']"
LAST_GREENS ,"['19.94', '9.16', '26.17']"
RESULTS:,53.21,43.08,48.50

OFFSETS ,"['12.71', '69.87', '22.69']"
GREENS ,"['31.15', '8.63', '31.47', '48.64']"
LAST_GREENS ,"['29.35', '26.90', '20.36']"
RESULTS:,150.22,87.17,113.33

OFFSETS ,"['49.78', '67.82', '8.22']"
GREENS ,"['20.28', '58.54', '49.26', '54.82']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['50.50', '62.03', '33.25']"
GREENS ,"['8.56', '9.28', '23.26', '54.84']"
LAST_GREENS ,"['51.94', '34.47', '14.16']"
RESULTS:,185.51,96.27,109.00

OFFSETS ,"['4.43', '40.86', '50.37']"
GREENS ,"['46.71', '7.34', '46.36', '42.86']"
LAST_GREENS ,"['13.79', '13.30', '26.14']"
RESULTS:,244.00,114.37,119.00

OFFSETS ,"['9.47', '37.91', '50.72']"
GREENS ,"['14.05', '31.57', '31.87', '42.33']"
LAST_GREENS ,"['46.45', '3.56', '26.67']"
RESULTS:,108.70,79.35,66.00

OFFSETS ,"['56.79', '56.19', '45.92']"
GREENS ,"['40.37', '15.97', '10.54', '26.50']"
LAST_GREENS ,"['20.13', '40.49', '42.50']"
RESULTS:,242.67,98.06,95.67

OFFSETS ,"['56.77', '67.56', '15.52']"
GREENS ,"['40.56', '46.90', '25.53', '42.83']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['26.77', '19.89', '40.87']"
GREENS ,"['39.70', '26.88', '15.31', '64.30']"
LAST_GREENS ,"['20.80', '24.82', '4.70']"
RESULTS:,92.36,57.57,83.67

OFFSETS ,"['26.79', '52.12', '14.23']"
GREENS ,"['43.77', '2.14', '8.79', '41.75']"
LAST_GREENS ,"['16.73', '56.07', '27.25']"
RESULTS:,412.02,142.05,129.00

OFFSETS ,"['72.81', '2.08', '15.47']"
GREENS ,"['57.39', '43.99', '10.49', '42.83']"
LAST_GREENS ,"['3.11', '12.52', '26.17']"
RESULTS:,35.43,29.55,33.50

OFFSETS ,"['55.50', '55.08', '34.12']"
GREENS ,"['59.85', '21.84', '27.92', '55.36']"
LAST_GREENS ,"['0.65', '17.24', '13.64']"
RESULTS:,97.60,59.00,83.33

OFFSETS ,"['2.86', '2.31', '37.60']"
GREENS ,"['58.38', '22.01', '10.93', '44.00']"
LAST_GREENS ,"['2.12', '34.06', '25.00']"
RESULTS:,132.26,72.97,80.33

OFFSETS ,"['71.36', '1.99', '36.78']"
GREENS ,"['4.60', '40.45', '11.79', '43.79']"
LAST_GREENS ,"['55.90', '14.76', '25.21']"
RESULTS:,52.00,36.77,26.50

OFFSETS ,"['72.94', '43.59', '15.66']"
GREENS ,"['57.70', '43.82', '10.49', '47.14']"
LAST_GREENS ,"['2.80', '12.69', '21.86']"
RESULTS:,51.47,35.64,33.50

OFFSETS ,"['72.97', '4.35', '15.47']"
GREENS ,"['57.39', '21.55', '10.49', '55.20']"
LAST_GREENS ,"['3.11', '34.96', '13.80']"
RESULTS:,106.34,59.97,80.00

OFFSETS ,"['50.35', '33.55', '69.53']"
GREENS ,"['14.83', '29.15', '9.46', '18.90']"
LAST_GREENS ,"['45.67', '28.39', '50.10']"
RESULTS:,131.76,63.59,51.00

OFFSETS ,"['50.30', '67.74', '69.53']"
GREENS ,"['41.61', '45.87', '9.46', '18.11']"
LAST_GREENS ,"['18.89', '11.67', '50.89']"
RESULTS:,108.36,58.93,38.50

OFFSETS ,"['72.73', '55.50', '34.40']"
GREENS ,"['6.94', '47.17', '10.98', '54.99']"
LAST_GREENS ,"['53.56', '8.85', '14.01']"
RESULTS:,42.87,36.94,49.00

OFFSETS ,"['51.95', '33.59', '19.36']"
GREENS ,"['16.05', '29.12', '17.91', '18.34']"
LAST_GREENS ,"['44.45', '19.97', '50.66']"
RESULTS:,134.79,64.13,50.33

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.59', '47.31', '11.01', '46.99']"
